TreatmentCode81,TreatmentCode93,Plot,TreatmentPlotSize,MeasurementPlotSize,PlotShape,Minimum_DBHAtPlotEstablishment,No_of_StemsPerHectare_PreThin,No_of_StemsPerHectare_PostThin,Elevation
1,1,3,0.15,0.08,Fixed Rectangle,0.1,6000,,100
1,1,11,0.15,0.08,Fixed Rectangle,0.1,7625,,100
1,1,17,0.15,0.08,Fixed Rectangle,0.1,9650,,100
1,1,26,0.15,0.08,Fixed Rectangle,0.1,1988,,100
2,8,6,0.15,0.08,Fixed Rectangle,0.1,3738,,100
2,8,8,0.15,0.08,Fixed Rectangle,0.1,4625,,100
2,8,18,0.15,0.08,Fixed Rectangle,0.1,7362,,100
2,8,22,0.15,0.08,Fixed Rectangle,0.1,6812,,100
3,3,1,0.15,0.08,Fixed Rectangle,0.1,,1200,100
3,3,7,0.15,0.08,Fixed Rectangle,0.1,,812,100
3,3,9,0.15,0.08,Fixed Rectangle,0.1,,988,100
3,3,27,0.15,0.08,Fixed Rectangle,0.1,,675,100
4,4,5,0.15,0.08,Fixed Rectangle,0.1,,1075,100
4,9,13,0.15,0.08,Fixed Rectangle,0.1,,1100,100
4,9,16,0.15,0.08,Fixed Rectangle,0.1,,975,100
4,9,24,0.15,0.08,Fixed Rectangle,0.1,,725,100
5,5,2,0.15,0.08,Fixed Rectangle,0.1,,1350,100
5,9,14,0.15,0.08,Fixed Rectangle,0.1,,1012,100
5,9,20,0.15,0.08,Fixed Rectangle,0.1,,1238,100
5,9,25,0.15,0.08,Fixed Rectangle,0.1,,938,100
6,6,21,0.15,0.08,Fixed Rectangle,0.1,,1225,100
6,10,10,0.15,0.08,Fixed Rectangle,0.1,,1025,100
6,10,19,0.15,0.08,Fixed Rectangle,0.1,,1262,100
6,10,28,0.15,0.08,Fixed Rectangle,0.1,,575,100
7,7,4,0.15,0.08,Fixed Rectangle,0.1,,688,100
7,10,12,0.15,0.08,Fixed Rectangle,0.1,,1112,100
7,10,15,0.15,0.08,Fixed Rectangle,0.1,,850,100
7,10,23,0.15,0.08,Fixed Rectangle,0.1,,1100,100
