PLOT,REPLICATE,YEAR,TOTN,TOTP,TOTK,TOTS,TOTCa,TOTMg
3,1,1981,0.93,0.13,0.44,0.1,0.87,0.12
3,1,1982,1.05,0.17,0.6,0.1,0.78,0.11
3,1,1983,0.87,0.15,0.5,0.12,0.91,
3,1,1985,0.83,0.12,0.4,0.08,0.85,
3,1,1990,0.73,0.12,0.34,0.09,0.85,0.12
11,2,1981,1.05,0.11,0.48,0.09,0.9,0.13
11,2,1982,1,0.16,0.6,0.1,0.79,0.12
11,2,1983,0.93,0.13,0.6,0.13,0.89,
11,2,1985,0.9,0.11,0.45,0.09,0.73,
11,2,1990,0.75,0.11,0.27,0.08,0.83,0.1
17,3,1981,1.24,0.15,0.51,0.1,0.69,0.14
17,3,1982,1.03,0.16,0.62,0.12,0.84,0.12
17,3,1983,0.95,0.15,0.64,0.11,0.86,
17,3,1985,0.85,0.11,0.46,0.08,0.68,
17,3,1990,0.68,0.11,0.33,0.08,0.86,0.11
26,4,1981,1.12,0.14,0.55,0.1,0.74,0.13
26,4,1982,1.13,0.18,0.7,0.13,0.71,0.12
26,4,1983,0.88,0.13,0.58,0.1,1,
26,4,1985,1,0.14,0.55,0.09,0.63,
26,4,1990,0.76,0.12,0.37,0.08,0.7,0.11
6,1,1981,1.43,0.2,0.55,0.11,1,0.12
6,1,1982,1.48,0.29,0.78,0.14,0.99,0.13
6,1,1983,1.35,0.26,0.69,0.15,0.92,
6,1,1985,1,0.16,0.49,0.09,0.76,
6,1,1990,0.7,0.12,0.31,0.08,0.76,0.12
8,2,1981,1.48,0.21,0.55,0.11,1.01,0.12
8,2,1982,1.48,0.29,0.74,0.15,0.93,0.13
8,2,1983,1.09,0.24,0.65,0.14,0.92,
8,2,1985,0.93,0.17,0.48,0.1,0.62,
8,2,1990,0.82,0.13,0.33,0.09,0.72,0.12
18,3,1981,1.43,0.19,0.64,0.12,0.93,0.11
18,3,1982,1.43,0.3,0.66,0.16,1.1,0.15
18,3,1983,1.28,0.27,0.68,0.14,0.8,
18,3,1985,1.05,0.17,0.49,0.1,0.7,
18,3,1990,0.79,0.14,0.34,0.1,0.68,0.11
22,4,1981,1.38,0.2,0.61,0.11,0.83,0.11
22,4,1982,1.4,0.26,0.7,0.15,0.84,0.12
22,4,1983,1.15,0.21,0.64,0.14,1.06,
22,4,1985,1.05,0.18,0.54,0.1,0.57,
22,4,1990,0.68,0.11,0.3,0.08,0.67,0.13
1,1,1981,1.13,0.14,0.47,0.1,0.86,0.15
1,1,1982,1.18,0.18,0.66,0.11,0.71,0.12
1,1,1983,0.94,0.15,0.58,0.13,0.93,
1,1,1985,0.88,0.13,0.46,0.08,0.75,
1,1,1990,0.77,0.11,0.31,0.09,0.73,0.11
7,2,1981,1.23,0.13,0.56,0.1,0.78,0.13
7,2,1982,1.28,0.15,0.66,0.11,0.74,0.11
7,2,1983,1.12,0.15,0.74,0.13,0.91,
7,2,1985,0.94,0.11,0.45,0.08,0.76,
7,2,1990,0.76,0.1,0.31,0.08,0.75,0.11
9,3,1981,1.13,0.14,0.52,0.08,0.78,0.13
9,3,1982,1.18,0.17,0.71,0.11,0.74,0.11
9,3,1983,0.96,0.16,0.66,0.12,0.95,
